Suburb,Match
BRANTWOOD,BRENTWOOD-PARK
BRIDGETOWN,BRIDGE TOWN
BRIDGETOWN,BRIDGETOWN~
BROADLANDS PARK,BROADLANDS INDUSTRIAL PARK
BROOKLYN,BROOKLYN - YSTERPLAAT
BROOKLYN,BROOKLYN/PAARDENEILAND
BROWN'S FARM,BROWNS FARM
BROWN'S FARM,BROWNS FARM PHILIPPI
BROWN'S FARM,BROWNS FARMS
BUH-REIN ESTATE,BUH REIN ESTATE
BUH-REIN ESTATE,BUR-HEIN ESTATE
BURGUNDY ESTATE,BURGANDY ESTATE
BURGUNDY ESTATE,BURGUNDY
CAMPS BAY,CAMPS BAY / BAKOVEN
CAPE TOWN,RIVERLAND
CAPE TOWN,UWC
CAPE TOWN,WORLD'S VIEW
CAPE TOWN,WP PARK
CAPE TOWN,WP SHOWGROUNDS
CAPRICORN PARK,CAPRICORN
CAPRICORN PARK,"CAPRICORN, VRYGON"
CAPRICORN PARK,"CAPRICORN, VRYGROND"
CAPRICORN PARK,VRYGROND/CAPRICORN PARK
CAREY PARK,CAREY PARKS
CENTRAL,CENTRAL CAPE TOWN
CENTRAL,CITY
CHRIS HANI PARK,CHRIS HANI INFORMAL SETTLEMENT
CHRIS NISSEN PARK,CHRIS NISSAN
CHRIS NISSEN PARK,CHRIS NISSAN PARK
CHRIS NISSEN PARK,CHRISH NISSEN PARK
CHRIS NISSEN PARK,CHRISNISSEN VILLAGE
CHRIS NISSEN PARK,NEXT TO CHRIS NISSEN PARK
CHRIS NISSEN PARK,SOMERSET WEST ( CHRIS NISSEN PARK )
CLAMHALL,CLAM HALL
CLARKES ESTATE,CLARKS ESTATE
COLORADO PARK,COLLORADO PARK
COLORADO PARK,COLOMBARD AREA
COLORADO PARK,COLORADO
COLORADO PARK,COLORADO - MITCHELLS PLAIN
COLORADO PARK,COLORADO - MITCHELS PLAIN
CONNAUGHT,CONNAUGHT ESTATE
CONSTANTIA,CONSTANTIA / DIEPRIVER
CONSTANTIA,CONSTANTIA VILLAGE
CRAVENBY,CRAVENBY ESTATE
CROSSROADS,CROSS ROADS
CROSSROADS,CROSSROAD
CROYDON,CROYDEN
CROYDON,CROYDON FAURE
CROYDON,CROYDON OLIVE ESTATE
CROYDON,CROYDON VINEYARD ESTATE
CROYDON,CROYDON FAURE
DASSENBERG,DASSENBERG ROAD
DASSENBERG,KLEIN DASSENBERG
DE BRON,"WATERKLOOF, DE BRON EXT 44"
DE NOVO,DE NOVA
DE TIJGER,AVONDALE - DE TIJGER
DEEPFREEZE,DEEPFREEZ
DELFT,AIRPORT GROUNDS DELFT
DELFT,BELHADELFT 4
DELFT,DELFT 1 & 2
DELFT,DELFT 3
DELFT,DELFT 32710
DELFT,DELFT 4
DELFT,DELFT 5
DELFT,DELFT 6
DELFT,DELFT 7
DELFT,DELFT 8
DELFT,DELFT 9
DELFT SOUTH,DEFT SOUTH
DELFT SOUTH,DELFT SOUTH / EINDHOVEN
DELFT SOUTH,DELFT SOUTH.
DENNEMERE,DENEMERE
DEVON PARK,"DEVON PARK, EERSTE RIVER"
DIEPRIVER,DIEP RIVER
DIEPRIVER,DIEP RIVIER
DIEPRIVER,DIEPRIVIER
DOCKS,"DOCKS, CITY"
DRIFTSANDS,DRIFSANDS
DRIFTSANDS,DRIFT SANDS
DUINEFONTYN,DUINEFONTEIN
DUINEFONTYN,DUYNEFONTEIN
DUNOON,DE NOON
DURBANVILLE,D'URBANVALE
DURBANVILLE,DURBANVILLE EXT SV39
DURBANVILLE,DURBANVILLE HILLS
DURBANVILLE,DURBAVILLE
DURBANVILLE,DURDANVILLE
DURMONTE,DUMONTE
DURMONTE,DUR MONTE
EDGEMEAD,EDGEMEAD - MONTE VISTA
EERSTERIVIER,"CONDOR PARK, EERSTERIVER"
EERSTERIVIER,EEERSTERVIER
EERSTERIVIER,EERSTE RIVER
EERSTERIVIER,EERSTER RIVER
EERSTERIVIER,EERSTERIVER
EERSTERIVIER,EERSTERIVER~
EERSTERIVIER,EERSTERIVIER SOUTH
EERSTERIVIER,EESTER RIVER
EIKENBOSCH,EIKENBOSCH KUILS RIVER
EIKENDAL,EIKENDAL - KRAAIFONTEIN
EIKENDAL,EIKENDALE
EIKENDAL,EIKENDEAL
EINDHOVEN,"EINDHOVEN, DELFT"
EKUPHUMULENI,EKUPHUMLENI
ELECTRIC CITY,"ELECTRIC CITY, EERSTE RIVER"
ELECTRIC CITY,ELECTRIC-CITY
ELECTRIC CITY,ELETRIC CITY
ELIM,JAN KRIEL
ELNOR,"ELNOR, ELSIES RIVER"
ELSIES RIVER,ELSIES
ELSIES RIVER,ELSIES RIVIER
ELSIES RIVER,ELSIESRIVIER
ELSIES RIVER,LEONSDALE
ELSIES RIVER,LEONSDALE ELSIES RIVER
ELSIES RIVER,"LEONSDALE, ELSIES RIVER"
ELSIES RIVER INDUSTRIA,ELSIES RIEVER INDUSTRIAL
ELSIES RIVER INDUSTRIA,ELSIES RIVER ( INDUSTRIAL )
ELSIES RIVER INDUSTRIA,ELSIES RIVER INDUSTRIAL
ELSIES RIVER INDUSTRIA,ELSIES RIVIER INDUSTRIA
ENDLOVINI,ENDLOVINI INFORMAL SETTLEMENT
ENKANINI,ENKANINI INFORMAL SETTLEMENT
EPPING 1,EPPING INDUSTRIA 1
EPPING 2,EPPING IND 2
EPPING 2,EPPING INDUSTRIA 2
EPPING 2,EPPING INDUSTRIA NO.2
EPPING FOREST,EPPING FORREST
EPPING INDUSTRIA,EPPING INDUSTRIAL
EUREKA ESTATE,EUREKA
EVERITE INDUSTRIA,EVERITE
EVERSDAL,EVERSDAL - BELLVILLE
EVERSDAL,EVERSDAL - DURBANVILLE
EVERSDAL,EVERSDAL EXT 21
EVERSDAL,EVERSDAL HEIGHTS
FALSE BAY COASTAL PARK,FALSE BAY
FAURE,FAURE ]
FIRLAND,FIRLANDS
FIRLAND,FIRLANDES
FIRLAND,FIRLANDS FARM
FISANTEKRAAL,FISANTE KRAAL
FISANTEKRAAL INDUSTRIAL,FISANTEKRAAL (TYGERBERG) INDUSTRIAL PARK
FISH HOEK,CAPRI
FISH HOEK,FISHHOEK
FISH HOEK,PEERS HILL
FOREST HEIGHTS,FORESTS HEIGHTS
FOUNTAIN VILLAGE,FOUNTAIN-VILLAGE
FRANKDALE,FRANKDALE TIPSITE
GANTS PARK,"GANTS PARK,  STRAND"
GANTS PARK,"GANTS PARK, STRAND"
GEORGE PARK,"GEORGE PARK, STRAND"
GLENHAVEN,"GLENHAVEN, BELLVILLE SOUTH"
GOODWOOD,GOODWOOD ESTATE
GOODWOOD,GOODWOOD EXT 1
GORDONS BAY,GORDANS BAY
GORDONS BAY,GORDON HEIGHTS
GORDONS BAY,GORDON'S BAY
GORDONS BAY,GORDONS BAY EXT 12
GORDONS BAY,GORDONS BAY STRAND
GORDONS BAY,GORDONS BAY VILLAGE
GORDONS BAY,GORDONS STRAND ESTATE
GORDONS BAY,GORDONSBAY
GORDONS BAY,HARBOUR ISLAND
GORDONS BAY,SEA BREEZ PARK
GORDONS BAY,TEMPERANCE TOWN
GREEN POINT,GREENPOINT
GREENFIELDS,GREENFIELD
GUGULETHU,GUGULETU
GUGULETHU,GUGULETU/NYANGA
HANOVER PARK,HANNOVER PARK
HAZELDENE,HAZELDENE PHILIPPI
HEATHFIELD,HEATHFIELD.
HEINZ PARK,HEINZPARK
HELDERBERG,HELDER ZIGHT
HELDERBERG,HELDERBERG ESTATE
HELDERBERG,HELDERBERG INDUSTRIAL PARK
HELDERBERG,HELDERBERG PARK
HELDERVUE,HELDERVIEW
HELDERVUE,HELDEVUE
HELDERZICHT,HELDERZIGHT
HIGGOVALE,HUGOVALE
HIGH RIDING,HIGH RIDING ESTATE
HIGHBURY,HIGHBURY PARK
HIGHLANDS ESTATE,HIGHLANDS ESTATE; SCHAAPKRAAL
HILL VIEW,HILLVIEW
HILLCREST HEIGHTS,HILLCREST ESTATE
HILLCREST HEIGHTS,HILLCREST HEIGHT
HILLCREST HEIGHTS,HILLCREST W
HOUT BAY,HHOUT BAY
