Suburb,Match
RICHMOND ESTATE,RICHMOND
RICHMOND ESTATE,RICHMOND PARK
RIVERTON,RIVERTON ELSIES RIVER
ROBINVALE,ROBIN VALE
ROCKLANDS,ROCKLANDS (MPN)
ROCKLANDS,ROCKLANDS / MITCHELLS PLAIN
ROCKLANDS,ROCKLANDS MITCHELL'S PLAIN
RONDEVLEI PARK,RONDERVLEI
RONDEVLEI PARK,RONDEVLEI
RONDEVLEI PARK,RONDEVLEI PARK'
RONDEVLEI PARK,RONDEVLEI~
ROOSENDAL,ROOSENDAAL
ROOSENDAL,"ROSENDAAL, DELFT"
ROOSENDAL,ROSENDAL
ROSEDALE,ROSEDALE - KLEIN VLEI
ROUXVILLE,ROUXVLLE
RUSTDAL,RUSDAL
RUYTERWACHT,RUITERWACHT
RUYTERWACHT,RUYTERWAGHT
RYLANDS ESTATE,RYLANDS
SACKS CIRCLE INDUSTRIA,SACK'S CIRCLE INDUSTRIA
SACKS CIRCLE INDUSTRIA,SACKS CIRCLE INDUSTRIAL
SALT RIVER,SALTRIVER
SAMORA MACHEL,SAMORA MACHEL - GUGULETHU
SAMORA MACHEL,SAMORA MACHEL / WELTEVREDEN VALLEY
SAMORA MACHEL,SAMORA MACHEL|WELTEVREDEN VALLEY NORTH
SAMORA MACHEL,SAMORA MACHELL
SANDDRIFT,SANDRIFT
SAREPTA,SAREPTA - KALKFONTEIN
SAXONSEA,SAXENBERG 2
SAXONSEA,SAXENBURG PARK
SAXONSEA,SAXENBURG PARK 1
SAXONSEA,SAXENBURG PARK 2
SAXONSEA,SAXON INDUSTRIAL
SAXONSEA,SAXON SEA
SAXONSEA,SAXON WORLD
SAXONSEA,SAXONWALD
SAXONSEA,SAXONWOLD
SAXONSEA,SAXONWOOD
SAXONSEA,SAXONWORLD
SCHAAP KRAAL,SCHAAPKRAAL
SCHAAP KRAAL,SCHAPPKRAAL
SCHOTSCHE KLOOF,SCHOTCHEKLOOF
SCHOTSCHE KLOOF,SCHOTCHES KLOOF
SCHOTSCHE KLOOF,SCHOTE KLOOF
SCHOTSCHE KLOOF,SCHOTSCHEKIOOF
SCHOTSCHE KLOOF,SCHOTSCHEKLOOF
SCHOTSCHE KLOOF,SCHOTSKLOOF
SCOTTSDENE,SCOTSDENE
SCOTTSDENE,SCOTT ESTATE
SCOTTSDENE,SCOTTDENE
SEAWINDS,SEA WINDS
SEAWINDS,"SEA WINDS, LAVENDER HILL."
SERCOR PARK,CASABLANCA
SERCOR PARK,SERCOR PARK / CASABLANCA
SHEFFIELD PARK,SHERFIELD PARK
SHERWOOD,SHERWOOD PARK
SHERWOOD,SHERWOOO
SHERWOOD,SHERWWOD
SHIRLEY PARK,SHIRLEY PARK - STIKLAND
SIGNAL HILL / LIONS HEAD,SIGNAL HILL
SILVERMINE,SILVERMINE VILLAGE
SIMONSTOWN,SIMONS TOWN
SIMONSTOWN,SIMON'S TOWN
SIR LOWRYS PASS,N2 OUTBOUND AFTER LOOKOUT POINT SIR LOWR
SIR LOWRYS PASS,SIR LOWERIES PASS
SIR LOWRYS PASS,SIR LOWRY PASS VILLAGE
SIR LOWRYS PASS,SIR LOWRY VILLAGE
SIR LOWRYS PASS,SIR LOWRYS
SIR LOWRYS PASS,SIR LOWRY'S PASS
SIR LOWRYS PASS,SIR LOWRYS PASS VILLAGE
SIR LOWRYS PASS,SIR LOWRY'S PASS VILLAGE
SIR LOWRYS PASS,SIR LOWRYS PASS VILLAGE CENTRE
SIR LOWRYS PASS,SIR LOWRY'S PASS VILLAGE CENTRE
SIR LOWRYS PASS,SIR LOW'S PASS VILLAGE
SIR LOWRYS PASS,SIRLOWRYS PASS
SIR LOWRYS PASS,SIRROCCO'S
SIR LOWRYS PASS,TRE DONNE
SOMERSET HEIGHTS,SOMERSET HIHGTS
SOMERSET WEST,BRIZA
SOMERSET WEST,FAURE
SOMERSET WEST,GOLDEN HILL EXT 1
SOMERSET WEST,HEARTLAND BEACH ROAD PRECINCT
SOMERSET WEST,HILCREST
SOMERSET WEST,SCHONENBERG
SOMERSET WEST,SOMERSET
SOMERSET WEST,SOMERSET ]WEST
SOMERSET WEST,SOMERSET WEST BUSINESS PARK
SOMERSET WEST,SOMERSET WEST COUNTRY CLUB
SOMERSET WEST,SOMERSET WEST NATURE RESERVE
SOMERSET WEST,SOMERSET WET
SOMERSET WEST,SOMERSETY WEST
SONEIKE,SONEIKE I
SONEIKE,SONEIKE II
SONKRING,SONEKIRING
SONKRING,"SONKRING, BRACKENFELL"
SONSTRAAL HEIGHTS,SONTRAAL HEIGHTS
SPRINGBOK PARK,SPRINGBOKPARK
ST JAMES,ST. JAMES
STEENBERG,STEENBERG.
STEENBERG,STEENBERG/CONISTON PARK
STEENBRAS DAM,STEENBRASDAM
STELLENBOSCH,STELLENBOSCH UNIV
STELLENBOSCH FARMS,STELLENBOSCH FARMS (BLUE DOWNS)
STELLENBOSCH FARMS,STELLENBOSCH FARMS (KUILSRIVIER)
STIKLAND,STIKLAND HOSPITAAL
STIKLAND,STIKLAND INDUSTRIA
STIKLAND,STIKLAND INDUSTRIAL
STRAND,STRAND GOLF CLUB
STRANDFONTEIN,STRANDFONTEIN ROAD
STRANDFONTEIN,STRANDFONTIEN
STRATFORD,STRATFORD GREEN
STRATFORD,STRATFORD PARK
SUMMER GREENS,CENTURY CITY - SUMMER GREENS
SUMMER GREENS,SUMMERGREENS
SUMMERVILLE,SUMMERVILE
SUMMERVILLE,SUMMER-VILLE
SUNBIRD PARK,SUNBIR PARK
SUNNYDALE,"POESPASKRAAL, SUNNYDALE"
SUNNYDALE,SUNNY DALE
SUNNYDALE,SUNNYDALLE
SWEET HOME,SWEET HOME INFORMAL
TABLE MOUNTAIN,"GLEN, TABLE MOUNTAIN"
TABLE VIEW,DIRECTION TABLE VIEW
TABLE VIEW,TABLEVIEW
TAFELSIG,TAFELSIG (MPN)
TAFELSIG,TAFELSIG MITCHELLS PLAIN
TAFELSIG,TAFLESIG
TARENTAALPLAAS,STRAND TARENTAALPLAAS
TARENTAALPLAAS,TARENTAAL PLAAS
TARENTAALPLAAS,TARENTAALPLAAS|STRAND
THE CONIFERS,CONIFERS
THE CONIFERS,CONNIFERS
THE CONIFERS,THE CONIFFERS
THE CONIFERS,THE CONNIFERS
THE HAGUE,"THE HAGUE, DELFT"
THE LAKES,THE LAKES/ LAKE MICHELLE/ NOORDHOEK
TIJGERHOF,TIJERHOF ESTATE
TOKAI,TOKAI.
TRIANGLE FARM,TRIANGLE FARM / LABIANCE
TYGERBERG,T
TYGERBERG,TYGERBERG HOSPITAL
TYGERDAL,TYGERDAL - GOODWOOD
TYGERVALLEY,TYGERVALLEY WATERFRONT
UITSIG,UITSIG - ELSIES RIVIER
UITZICHT,UITZIGH
UITZICHT,UITZIGT
VALHALLA PARK,VAHALLA PARK
VALHALLA PARK,VALHALA PARK
VAN DER STEL,VAN DE STEL
VAN SCHOORSDRIFT,VAN SCHOORS DRIFT
VASCO ESTATE,VASCO
VASCO ESTATE,"VASCO, GOODWOOD"
VICTORIA MXENGE,VICTORIA MERGE
VISSERSHOK,KLEIN VISSERSHOK
VOELVLEI,VOGELVLEI
VOORBRUG,VOORBRUG / ROOSENDAL
VOORBRUG,"VOORBRUG,  DELFT"
VOORBRUG,"VOORBRUG, DELFT"
VREDEHOEK,VREDEHOEK~
VREDEKLOOF,VREDEKLOOF EAST
VREDEKLOOF,VREDEKLOOF HEIGHTS
VREDELUST,VREDELUST BELLVILLE
VREDELUST,VREDELUST KUIL RIVER
VREDELUST,VREDELUST KUILS RIVER
VREDENBERG,VREDENBURG
WALLACEDENE,W
WALLACEDENE,WALLACEDENE / SCOTTSDENE
WELGEMOED,KLEIN WELGEMOED
WELTEVREDEN VALLEY,WELTEVREDE VALLEY
WELTEVREDEN VALLEY,WELTEVREDEN
WELTEVREDEN VALLEY,WELTEVREDEN AVENUE
WELTEVREDEN VALLEY,WELTEVREDEN VALLEY NORTH
WELTEVREDEN VALLEY,"WELTEVREDEN VALLEY, MITCHELLS PLAIN"
WELTEVREDEN VALLEY,WELTEVREDEN VALLEY\
WELTEVREDEN VALLEY,WELTEVREDEN VALLEY\\
WELTEVREDEN VALLEY,WELTEVREDEN VALLY
WELTEVREDEN VALLEY,WELTEVREDEN VILLAGE
WEMBLEY PARK,WEMBLY PARK
WESBANK,WESBANK~
WESBANK,WESTBANK
WESFLEUR,AVONDALE - WESFLEUR
WESFLEUR,WESFLEUR - ATLANTIS INDUSTRIAL
WESTBANK,WESTBANK~
WESTGATE,"WESTGATE, MITCHELL'S PLAIN"
WESTLAKE,WESLAKE
WESTRIDGE,WESTRIDGE - MITCHELLS PLAIN
WESTRIDGE,WESTRIDGE (MPN)
WESTRIDGE,"WESTRIDGE, MITCHELLS PLAIN"
WESTRIDGE,WESTRIGDE
WETTON,WETTON|OTTERY
WILDWOOD,WILD WOOD
WINDERMERE,WINDERMERE (KENSINGTON)
WINDSOR PARK,WINSOR PARK
WINDSOR PARK ESTATE,WINDSOR ESTATE
WITSAND,WITSAND INFORMAL SETTLEMENT
WOODLANDS,WOODLANDS (MPN)
WOODLANDS,WOODLANDS-MITCHELL'S PLAIN
WYNBERG,WYNBERG NU
WYNBERG MILITARY BASE,@9SAI MILITRY BASE
YSTERPLAAT,YSTERPLAAT|( BROOKLYN )
ZEEKOEIVLEI,SEEKOOIVLEI
ZEEKOEIVLEI,ZEEKOE VLEI
ZEEKOEIVLEI,ZEEKOEI VLEI
ZEEKOEIVLEI,ZEEKOEVLEI
ZEVENWACHT,ZEVENWACHT FARM VILLAGE
ZEVENWACHT,ZEVENWACHT MALL
ZEVENWACHT,ZEVENWACHT RETIREMENT VILLAGE
ZEVENWACHT,ZEVENWAGHT
ZONNEBLOEM,ZONEBLOEM
